TV3                            
2001-01-01 - Pirmadienis                    
--

2001-12-11 - Antradienis
06.55 	Programa. 	
07.00 	Padaužos bebriukai (Angry Beavers). Animacinė komedija. II dalis.13 s. (k.)  Vaikams 	
07.25 	Be tabu. Infošou. (k.)  Laida
07.50 	Virginija (La Intrusa). Meksika. 2001. Drama. 33 s. (k.)  Serialas
08.40 	Katalina ir Sebastijanas (Catalina y Sebastian). Meksika. 1999. Drama. 60 s. (k.)  Serialas 
09.25 	Devintasis įsakymas (El Noveno Mandamiento). Meksika. 2000. Drama. 55 s. (k.) Serialas  	
10.15 	Žiedė (Blossom). JAV. 1991. Komedija. 7 s. (k.)  Serialas
10.45 	Paslaptingas Aleks Mek pasaulis (Secret World of Alex Mack). JAV. 1994. Fantastinis nuotykių serialas. 27 s.  Vaikams  	
11.10 	Robinzonai. Lietuva. 2001. Nuotykių šou. 10 dalis. (k.)  Laida
12.05 	Trys draugai ir picerija 	Serialas (Two Guys, a Girl, and a Pizza Place). JAV. 1998. Komedija. II dalis. 11, 12 s. 	
12.50 	Brangioji aš sumažinau vaikus  Serialas
13.35 	Žiedė (Blossom). JAV. 1991. Komedija. 8 s.  Serialas
14.00 	Bukiausi Amerikos nusikaltėliai (America's Dumbest Criminals). JAV. Humoristinis serialas. III dalis. 14 s. 	Serialas 	
14.25 	Bičiuliai (Sidekicks). JAV. 1986. Nuotykių serialas. 18 s. (k.)  Serialas
14.45 	Dienos tra-lia-lia. Laida vaikams. Laidos vedėja Inesa Paliulytė.  Vaikams 	
14.45 	Padaužos bebriukai (Angry Beavers). Animacinė komedija. II dalis. 13 s. (k.)  Vaikams
15.15 	Simpsonai (The Simpsons). JAV. Animacinis filmas. IV dalis. 3 s.  Vaikams
15.45 	Devintasis įsakymas (El Noveno Mandamiento). Meksika. 2000. Drama. 59 s.	Serialas
16.40 	Katalina ir Sebastijanas (Catalina y Sebastian). Meksika. 1999. Drama. 64 s. 	Serialas  	
17.40 	Kaip jaučiatės?. Informacinė sveikatinimo laida. Laidos vedėja Rūta Miliauskienė.	Laida
17.45 	Virginija (La Intrusa). Meksika. 2001. Drama. 36 s.	Serialas
18.45 	TV3 žinios. 	Laida
19.05 	TV3 sportas. 	Sportas
19.10 	Orai. 	
19.10 	Be tabu. Infošou. Laidos vedėjos Ramunė Pečiulienė ir Greta Šapkaitė.	Laida
19.45 	TV3 atneš šventę!. Kalėdinė akcija.	Žaidimas
19.50 	Farai. Dokumentinė drama.	Laida
20.25 	Kobra 11 (Alarm Fur Cobra 11 - Die Autobahnpolizei). 2000. Vokietija. Nuotykių serialas. V dalis. 13 s.	Serialas
21.15 	Lietuvos ryto televizija. Laidos vedėjai Henrikas Vaitiekūnas ir Rimas Bružas.	Laida
22.20 	Mirk už savo svajonę. Omnitel TV žaidimas.
22.25 	TV3 žinios.  Laida
22.35 	X failai (X-Files). JAV. 1999. Fantastinė drama. VII dalis. 14 s. (T).  Serialas
