Balticum Platinum
-----
Sausis
-----
2025-01-01 - Trečiadienis
07:00 Sporto drama „Pulsas“ (Ukraina, 2020 m.) (N-7)
09:00 Komedija „Pašėlusios vestuvės“ (Ukraina, 2018 m.) (N-7)
11:00 Komedija „Pašėlusios vestuvės 2“ (Ukraina, 2019 m.) (N-7)
13:00 Komedija „Pašėlusios vestuvės 3“ (Ukraina, 2021 m.) (N-7)
15:00 Nuotykių komedija „Šv. Mikalojaus nuotykiai“ (Ukraina, 2018 m.) (N-7)
16:15 Draminis serialas „Naujokė“ (16) (Ukraina, 2019 m.) (N-7)
17:00 Komiškas draminis serialas „Kelias namo“ (1) (Ukraina, 2024 m.) (N-7)
18:00 Komiškas draminis serialas „Kelias namo“ (2) (Ukraina, 2024 m.) (N-7)
19:00 Komiškas draminis serialas „Kelias namo“ (3) (Ukraina, 2024 m.) (N-7)
20:00 Komiškas draminis serialas „Kelias namo“ (4) (Ukraina, 2024 m.) (N-7)
21:00 Drama „Tarnaitė“ (Ukraina, 2020 m.) (N-7)
23:00 Komedija „Smagioji iškyla“ (Ukraina, 2022 m.) (N-7)
01:00 Romantinis draminis serialas „Proga pamilti“ (1) (Ukraina, 2017 m.) (N-7)
02:00 Romantinis draminis serialas „Proga pamilti“ (2) (Ukraina, 2017 m.) (N-7)
03:00 Romantinis draminis serialas „Proga pamilti“ (3) (Ukraina, 2017 m.) (N-7)
04:00 Romantinis draminis serialas „Proga pamilti“ (4) (Ukraina, 2017 m.) (N-7)

2025-01-02 - Ketvirtadienis
07:00 Draminis serialas „Naujokė“ (15) (Ukraina, 2019 m.) (N-7)
08:00 Draminis serialas „Naujokė“ (16) (Ukraina, 2019 m.) (N-7)
09:00 Romantinis draminis serialas „Proga pamilti“ (1) (Ukraina, 2017 m.) (N-7)
10:00 Romantinis draminis serialas „Proga pamilti“ (2) (Ukraina, 2017 m.) (N-7)
11:00 Romantinis draminis serialas „Proga pamilti“ (3) (Ukraina, 2017 m.) (N-7)
12:00 Romantinis draminis serialas „Proga pamilti“ (4) (Ukraina, 2017 m.) (N-7)
13:00 Draminis serialas „Botų ferma“ (1) (Ukraina, 2023 m.) (N-7)
