Etaplius TV
-----
Lapkritis
-----
2024-11-01 - Penktadienis
07:30 Specialisto patarimai, Šiaulių TV
08:00 Infostudija, Šiaulių TV k.
08:30 Alfa taškas, Alfa.lt k.
09:00 Anądien Šiauliuose, Šiaulių kino meno klubas k.
09:30 Infostudija, Šiaulių TV k.
10:00 Alfa.lt savaitės interviu, Alfa.lt k.
10:30 Žvilgsnis giliau, Marijampolės TV k.
11:00 Infostudija, Šiaulių TV k.
11:30 Tvarumo ministerija, Žinių radijas
12:00 Skaitmeninė karta, Žinių radijas k.
12:30 Infostudija, Šiaulių TV k.
13:00 Delfi diena, Delfi TV k.
14:00 Alfa taškas, Alfa.lt k.
14:30 Automoto, Automotogroup k.
15:00 Skrendam, Automoto group k.
15:30 „Muzikiniai rudenys“. Koncertas.
17:30 "Švenčiu ciklas: Vėlinės". Filmas
18:30 Žvilgsnis giliau. Vėlinės. Marijampolės TV
19:00 Alfa taškas, Alfa.lt
19:30 „Kai atgimsta miesto legendos“. Koncertas – miuziklas.
21:30 Specialisto patarimai, Šiaulių TV
22:00 Programos pabaiga

2024-11-02 - Šeštadienis
08:00 Rinkis muziką
09:30 Alfa taškas, Alfa.lt k.
10:00 Seku Tau pasaką, Šiaulių TV
10:30 Pasimankštinkime, Šiaulių TV
11:00 Sodininko pasaulis, Šiaulių TV
11:30 Kada įkurtuvės? Delfi TV
12:00 Tėvams apie vaikus, Žinių radijas
12:30 Tauro ragas, Šviečiamoji programa
13:00 Europos gidas, Žinių radijas
13:30 Nediplomatinis poklabis. Alfa.lt k.
14:00 Augintinių studija, Žinių radijas
14:30 Suprasti Rusiją, Alfa.lt k.
15:00 Petro Šiaučiūno valanda. Realybės dokumentikos programa
16:00 Anądien Šiauliuose, Šiaulių kino meno klubas k.
16:30 Verslūs tėvai, Alfa.lt
17:00 Atspari visuomenė, Žinių radijas
18:00 Susitikimai, Automotogroup k.
18:30 4 kampai, UAB Prodiuseriai k.
19:00 Skrendam, Automoto group
19:30 Savaitės aktualijos, Šiaulių TV
20:00 Mama kalba, Šiaulių TV
21:00 Rinkis muziką

2024-11-03 - Sekmadienis
08:00 Rinkis muziką
10:00 Specialisto patarimai, Šiaulių TV
10:30 Savaitės aktualijos, Šiaulių TV k.
11:00 Verslūs tėvai, Alfa.lt k.
11:30 Sodininko pasaulis, Šiaulių TV k.
12:00 Skrendam, Automoto group k.
12:30 Žvilgsnis giliau, Marijampolės TV k.
13:00 Sveikatos laikas, Žinių radijas
14:00 Mama kalba, Šiaulių TV k.
15:00 Pokalbiai tarp gėlių, Žinių radijas
15:30 Akmenės krašto naujienos, Šiaulių TV k.
16:00 4 kampai, UAB Prodiuseriai k.
16:30 Tėvams apie vaikus, Žinių radijas k.
17:00 Nediplomatinis poklabis. Alfa.lt
17:30 Alfa.lt savaitės interviu, Alfa.lt k.
18:00 Istorinės paralelės, Žinių radijas
18:30 Automoto, Automoto group
19:00 Sodžius, Šiaulių TV k.
19:30 Savaitės aktualijos, Šiaulių TV k.
20:00 Rinkis muziką.

2024-11-04 - Pirmadienis
07:30 Specialisto patarimai, Šiaulių TV
08:00 Sodžius, Šiaulių TV k.
08:30 Alfa taškas, Alfa.lt k.
09:00 Akmenės krašto naujienos, Šiaulių TV k.
09:30 Radviliškis šiandien ir rytoj, Šiaulių TV k.
10:00 Labas iš Kelmės, Šiaulių TV k.
10:30 Verslūs tėvai, Alfa.lt k.
11:00 Mama kalba, Šiaulių TV k.
11:30 Sodininko pasaulis, Šiaulių TV k.
12:00 Specialisto patarimai, Šiaulių TV
12:30 Anądien Šiauliuose, Šiaulių kino meno klubas k.
13:00 Delfi diena, Delfi TV k.
14:00 Alfa taškas, Alfa.lt k.
14:30 Savaitės aktualijos, Šiaulių TV k.
15:00 Dienos klausimas, Žinių radijas
16:00 Petro Šiaučiūno valanda. Realybės dokumentikos programa
17:00 Europos gidas, Žinių radijas k.
17:30 Labas iš Kelmės, Šiaulių TV k.
18:00 Specialisto patarimai, Šiaulių TV
18:30 Infostudija, Šiaulių TV
19:00 Alfa taškas, Alfa.lt
19:30 Susitikimai, Automotogroup
20:00 Infostudija, Šiaulių TV k.
20:30 Akmenės krašto naujienos, Šiaulių TV k.
21:00 4 kampai, UAB Prodiuseriai
21:30 Paveldas nesensta, Žinių radijas
22:00 Infostudija, Šiaulių TV k.
22:30 Programos pabaiga

2024-11-05 - Antradienis
07:30 Specialisto patarimai, Šiaulių TV
08:00 Infostudija, Šiaulių TV k.
08:30 Alfa taškas, Alfa.lt k.
09:00 Susitikimai, Automotogroup k.
09:30 Infostudija, Šiaulių TV k.
10:00 Akmenės krašto naujienos, Šiaulių TV k.
10:30 4 kampai, UAB Prodiuseriai k.
11:00 Infostudija, Šiaulių TV k.
11:30 Labas iš Kelmės, Šiaulių TV k.
12:00 Paveldas nesensta, Žinių radijas k.
12:30 Infostudija, Šiaulių TV k.
13:00 Delfi diena, Delfi TV k.
14:00 Alfa taškas, Alfa.lt k.
14:30 Ką Tu?, Žinių radijas
15:00 Dienos klausimas, Žinių radijas
16:00 Tvarumo ministerija, Žinių radijas
16:30 Moterims 45+, Šiaulių TV k.
17:30 Akmenės krašto naujienos, Šiaulių TV k.
18:00 Gyvenu Europoje, Žinių radijas
18:10 Ar ES tai gali?
18:30 Infostudija, Šiaulių TV
19:00 Alfa taškas, Alfa.lt
19:30 Sodžius, Šiaulių TV
20:00 Infostudija, Šiaulių TV k.
20:30 Suprasti Rusiją, Alfa.lt
21:00 Įjunkim šviesą, Žinių radijas
21:30 Istorinės paralelės, Žinių radijas k.
22:00 Infostudija, Šiaulių TV k.

2024-11-06 - Trečiadienis
07:30 Specialisto patarimai, Šiaulių TV
08:00 Infostudija, Šiaulių TV k.
08:30 Alfa taškas, Alfa.lt k.
09:00 Sodžius, Šiaulių TV k.
09:30 Infostudija, Šiaulių TV k.
10:00 Suprasti Rusiją, Alfa.lt k.
10:30 Įjunkim šviesą, Žinių radijas k.
11:00 Infostudija, Šiaulių TV k.
11:30 Talentai po priedanga, Žinių radijas
12:00 Specialisto patarimai, Šiaulių TV
12:30 Infostudija, Šiaulių TV k.
13:00 Delfi diena, Delfi TV k.
14:00 Nediplomatinis poklabis. Alfa.lt
15:00 Dienos klausimas, Žinių radijas
16:00 Petro Šiaučiūno valanda. Realybės dokumentikos programa
17:00 Du bitai, Žinių radijas
17:30 Sodžius, Šiaulių TV k.
18:00 Specialisto patarimai, Šiaulių TV
18:30 Infostudija, Šiaulių TV
18:50 Specialusis reportažas.
19:00 Alfa taškas, Alfa.lt
19:30 Radviliškis šiandien ir rytoj, Šiaulių TV k.
20:00 Infostudija, Šiaulių TV k.
20:20 Specialusis reportažas. k.
20:30 Ekonomika šiandien, Žinių radijas
21:00 Ofiso dramos, Alfa.lt
21:30 Gyvenu Europoje, Žinių radijas k.
21:40 Ar ES tai gali? k.
22:00 Infostudija, Šiaulių TV k.
22:20 Specialusis reportažas. k.

2024-11-07 - Ketvirtadienis
07:30 Specialisto patarimai, Šiaulių TV
08:00 Infostudija, Šiaulių TV k.
08:20 Specialusis reportažas. k.
08:30 Alfa taškas, Alfa.lt k.
09:00 Radviliškis šiandien ir rytoj, Šiaulių TV k.
09:30 Infostudija, Šiaulių TV k.
09:50 Specialusis reportažas. k.
10:00 Ofiso dramos, Alfa.lt k.
10:30 Ekonomika šiandien, Žinių radijas k.
11:00 Infostudija, Šiaulių TV k.
11:20 Specialusis reportažas. k.
11:30 Kvadratas apskritime, Šiaulių TV
12:00 Specialisto patarimai, Šiaulių TV
12:30 Infostudija, Šiaulių TV k.
12:50 Specialusis reportažas. k.
13:00 Delfi diena, Delfi TV k.
14:00 Alfa taškas, Alfa.lt k.
14:30 Tauro ragas, Šviečiamoji programa k.
15:00 Dienos klausimas, Žinių radijas
16:00 Kada įkurtuvės?, Delfi TV
16:30 Atviras pokalbis, Žinių radijas
17:30 Skaitmeninė karta, Žinių radijas
18:00 Specialisto patarimai, Šiaulių TV
18:30 Infostudija, Šiaulių TV
19:00 Alfa taškas, Alfa.lt
19:30 Specialisto patarimai, Šiaulių TV
20:00 Infostudija, Šiaulių TV k.
20:30 Anądien Šiauliuose, Šiaulių kino meno klubas
21:00 Alfa.lt savaitės interviu, Alfa.lt
21:30 Žvilgsnis giliau, Marijampolės TV
22:00 Infostudija, Šiaulių TV

2024-11-08 - Penktadienis
07:30 Specialisto patarimai, Šiaulių TV
08:00 Infostudija, Šiaulių TV k.
08:30 Alfa taškas, Alfa.lt k.
09:00 Anądien Šiauliuose, Šiaulių kino meno klubas k.
09:30 Infostudija, Šiaulių TV k.
10:00 Alfa.lt savaitės interviu, Alfa.lt k.
10:30 Žvilgsnis giliau, Marijampolės TV k.
11:00 Infostudija, Šiaulių TV k.
11:30 Tvarumo ministerija, Žinių radijas
12:00 Skaitmeninė karta, Žinių radijas k.
12:30 Infostudija, Šiaulių TV k.
13:00 Delfi diena, Delfi TV k.
14:00 Alfa taškas, Alfa.lt k.
14:30 Automoto, Automotogroup k.
15:00 Dienos klausimas, Žinių radijas
16:00 Skrendam, Automoto group k.
16:30 Atviras pokalbis, Žinių radijas
17:30 Sodžius, Šiaulių TV k.
18:00 Specialisto patarimai, Šiaulių TV
18:30 Infostudija, Šiaulių TV
19:00 Alfa taškas, Alfa.lt
19:30 Akmenės krašto naujienos, Šiaulių TV
20:00 Infostudija, Šiaulių TV k.
20:30 Labas iš Kelmės, Šiaulių TV k.
21:00 Verslūs tėvai, Alfa.lt
21:30 Specialisto patarimai, Šiaulių TV
22:00 Infostudija, Šiaulių TV

2024-11-09 - Šeštadienis
08:00 Rinkis muziką
09:30 Alfa taškas, Alfa.lt k.
10:00 Seku Tau pasaką, Šiaulių TV
10:30 Pasimankštinkime, Šiaulių TV
