Marijampolės TV
-----
Sausis
-----
2026-01-01 - Ketvirtadienis
07:30 Marijampolės TV žinios, Marijampolės TV k.
08:00 Savivaldybės aktualijos ir komentarai, Marijampolės TV k.
08:30 Švenčių magija, Etaplius TV k.
09:00 Talentai po priedanga, Žinių radijas k.
09:30 O tai kaip? Etaplius TV k.
10:00 Verslo TOP, Alfa TV k.
11:00 Ekonominiai pietūs, Žinių radijas
12:00 Moteriškoji Marijampolė. Istorija ir dabartis, Marijampolės TV k.
12:30 Filmas "Švenčių ciklas: NAUJIEJI METAI", Alfa.lt k.
13:30 Atviras pokalbis, Žinių radijas
14:30 Bėgimo mokyklėlė k.
15:00 Mokslas suprantamai, Žinių radijas k.
15:30 Savivaldybės aktualijos ir komentarai, Marijampolės TV k.
16:00 Tylūs dalykai garsiai, Marijampolės TV k.
16:30 Dienos klausimas, Žinių radijas
17:30 Ekonomika šiandien, Žinių radijas k.
18:00 Alfa taškas, Alfa TV
18:30 Jubiliejinio X tarptautinio medinių pučiamųjų instrumentų festivalio Medynės’ 2024 koncertas „Viduramžių fleitos muzika“
19:30 Moteriškoji Marijampolė. Istorija ir dabartis, Marijampolės TV
20:00 „Hotel Tango“, festivalio „Kultūros dienos 2024“ koncertas
21:00 Šventinis koncertas "Svečiuose pas M.K.Čiurlionį ir V.A. Mocartą” " 2025 m.
22:30 Programos pabaiga

2026-01-02 - Penktadienis
07:30 Marijampolės TV žinios, Marijampolės TV k.
08:00 Lietuva didelė, Žinių radijas k.
08:30 Moteriškoji Marijampolė. Istorija ir dabartis, Marijampolės TV k.
09:00 Tylūs dalykai garsiai, Marijampolės TV k.
09:30 Europos greitkeliu, Žinių radijas k.
10:00 Gandro lizdas, Gyvenimas Šiaurėje k.
11:00 Alano podkastas, FITME – gyvenimo būdas
12:30 Marijampolės TV žinios, Marijampolės TV k.
13:00 „Gatvės meno pėdsakai“ Specialusis reportažas Marijampolės TV k.
13:30 Lietuvos kariuomenė k.
14:30 Ekonominiai pietūs, Žinių radijas k.
15:30 Švenčių magija, Etaplius TV k.
16:00 Ekspertai pataria, Žinių radijas k.
16:30 Tylūs dalykai garsiai, Marijampolės TV k.
17:00 Moterims 45+, Etaplius TV k.
18:00 Alfa taškas, Alfa TV
18:30 Marijampolės TV žinios, Marijampolės TV
19:00 Savaitės tema, Marijampolės TV
19:30 Mokslas suprantamai, Žinių radijas
20:00 Marijampolės TV žinios, Marijampolės TV k.
20:30 Ką klausai? Etaplius TV
21:00 Du bitai, Žinių radijas k.
21:30 Alfa taškas, Alfa TV
22:00 Marijampolės TV žinios, Marijampolės TV k.
22:30 Programos pabaiga

2026-01-03 - Šeštadienis
08:00 Savaitgalis su muzika
09:30 Du bitai, Žinių radijas k.
10:00 Uodegų istorijos, Marijampolės TV
10:30 O tai kaip?, Etaplius TV k.
11:00 Dūzės ir Mūzės nuotykiai, Etaplius TV
11:30 Švenčių magija, Etaplius TV
12:00 Gatvės meno pėdsakai, Marijampolės TV k.
12:30 Alano podkastas, FITME – gyvenimo būdas k.
14:00 Įjunkim šviesą, Žinių radijas
14:30 Lietuva didelė, Žinių radijas k.
15:00 Savaitės tema, Marijampolės TV k.
15:30 Užsukime į… , Žinių radijas k.
16:00 Sveikinimų koncertas, Marijampolės TV
16:30 Tylūs dalykai garsiai, Marijampolės TV k.
17:00 Moterims 45+, Etaplius TV k.
18:00 Dūzės ir Mūzės nuotykiai, Etaplius TV k.
18:30 Kultūros sunkiasvoriai, Žinių radijas k.
19:00 Ką klausai? Etaplius TV k.
19:30 Bėgimo mokyklėlė k.
20:30 Savaitgalis su muzika
22:00 Programos pabaiga

2026-01-04 - Sekmadienis
08:00 Savaitgalis su muzika
10:00 Geroji naujiena, Marijampolės TV k.
10:30 Tiesioginė Šv. Mišių transliacija iš Išlaužo Švč. Mergelės Marijos krikščionių pagalbos bažnyčios
12:30 Mama kalba, Etaplius TV
13:00 Uodegų istorijos, Marijampolės TV k.
13:30 Įjunkim šviesą, Žinių radijas k.
14:00 Tylūs dalykai garsiai, Marijampolės TV k.
14:30 Moteriškoji Marijampolė. Istorija ir dabartis, Marijampolės TV k.
15:00 Sveikatos laikas, Žinių radijas
16:00 Sveikinimų koncertas, Marijampolės TV k.
16:30 Mano trejetas, Žinių radijas
17:00 Moterims 45+, Etaplius TV k.
18:00 Ramybė chaose, Tinklalaidė k.
19:30 Būti kartu, Žinių radijas k.
20:00 Ką klausai? Etaplius TV k.
20:30 Savaitgalis su muzika
22:00 Programos pabaiga

2026-01-05 - Pirmadienis
07:30 Marijampolės TV žinios, Marijampolės TV k.
08:00 Sveikatos laikas, Žinių radijas k.
09:00 Verslo TOP, Alfa TV
10:00 Girdžiu tavo nuomonę, Žinių radijas
11:00 Gandro lizdas, Gyvenimas Šiaurėje k.
12:00 Mano trejetas, Žinių radijas k.
12:30 Marijampolės TV žinios, Marijampolės TV k.
