-----
Sausis
-----
2011-01-01 - Šeštadienis

2011-01-02 - Sekmadienis

2011-01-03 - Pirmadienis

2011-01-04 - Antradienis

2011-01-05 - Trečiadienis

2011-01-06 - Ketvirtadienis

2011-01-07 - Penktadienis

2011-01-08 - Šeštadienis

2011-01-09 - Sekmadienis

2011-01-10 - Pirmadienis
3.00 Čarlio Bartleto išdaigos. JAV, komedija, 2007.
5.00 Meilė ir kitos nelaimės. D.Britanija/Prancūzija, romantinė komedija, 2006.
6.40 Apaštalas. JAV, drama, 1997.
9.00 Gyvulių draugija. JAV, komedija, 1978.
11.00 Gauja. JAV, kriminalinė komedija, 2000.
13.10 Žalias drakonas. JAV, drama, 2001.
15.10 Penelopė. JAV, Didžioji Britanija. 2006. Komedija, fantastinis filmas.
17.00 Mirtis jai tinka. JAV. 1992. Komedija.
19.00 Dekameronas. Skaistuolių teritorija. D.Britanija/Italija, romantinė komedija/drama, 2007.
21.00 Čarlio Bartleto išdaigos. JAV, komedija, 2007.
22.50 Nepaisant nieko. JAV, komedija, 2005 .
0.25 Geismas, įspėjimas. Kinija, trileris, 2007 .

2011-01-11 - Antradienis
3.00 Dainininkas. JAV, drama/miuziklas, 2006.
5.00 Dekameronas. skaistuolių teritorija. D.Britanija/Italija, romantinė komedija/drama, 2007.
7.00 Žalias drakonas. JAV, drama, 2001.
9.00 Penelopė. JAV, Didžioji Britanija. 2006. Komedija, fantastinis filmas.
11.00 Mirtis jai tinka. JAV. 1992. Komedija. .
13.00 Saulės nudeginti. JAV, drama, 1999.
15.00 Ištikimoji. JAV, komiška drama, 2000.
17.00 Sukurtas Haroldas. JAV, komiška drama, 2006.
19.00 Parduotuvių slunkiai. JAV. 1995. Komedija.
19.00 Dekameronas. Skaistuolių teritorija. D.Britanija/Italija, romantinė komedija/drama, 2007.
21.00 Dainininkas. JAV, drama/miuziklas, 2006.
23.00 Raudonosios upės vaiduoklis. D.Britanija/Kanada, siaubo filmas, 2005.
1.00 Fanatikas. JAV, drama, 2001.

2011-01-12 - Trečiadienis
3.00 Didysis Lebovskis. JAV, kriminalinė komedija, 1998.
5.10 Parduotuvių slunkiai. JAV. 1995. Komedija.
7.00 Saulės nudeginti. JAV, drama, 1999.
9.00 Ištikimoji. JAV, komiška drama, 2000.
11.00 Sukurtas Haroldas. JAV, komiška drama, 2006.
13.00 Ačiū, užteks! JAV, komedija, 2007.
15.00 Bilas. JAV, komedija, 2007.
17.00 Imperatoriškas klubas. JAV. 2002. Drama.
19.00 Ech, tos merginos. JAV, romantinė drama, 2003.
21.00 Didysis Lebovskis. JAV, kriminalinė komedija, 1998.
23.10 Vaistininkas. Prancūzija, siaubo filmas, 2003.
