-----
Sausis
-----
2011-01-01 - Šeštadienis

2011-01-02 - Sekmadienis

2011-01-03 - Pirmadienis

2011-01-04 - Antradienis

2011-01-05 - Trečiadienis

2011-01-06 - Ketvirtadienis

2011-01-07 - Penktadienis

2011-01-08 - Šeštadienis

2011-01-09 - Sekmadienis

2011-01-10 - Pirmadienis

2011-01-11 - Antradienis

2011-01-12 - Trečiadienis

2011-01-13 - Ketvirtadienis

2011-01-14 - Penktadienis

2011-01-15 - Šeštadienis

2011-01-16 - Sekmadienis

2011-01-17 - Pirmadienis

2011-01-18 - Antradienis

2011-01-19 - Trečiadienis

2011-01-20 - Ketvirtadienis

2011-01-21 - Penktadienis

2011-01-22 - Šeštadienis

2011-01-23 - Sekmadienis

2011-01-24 - Pirmadienis

2011-01-25 - Antradienis

2011-01-26 - Trečiadienis

2011-01-27 - Ketvirtadienis

2011-01-28 - Penktadienis

2011-01-29 - Šeštadienis

2011-01-30 - Sekmadienis

2011-01-31 - Pirmadienis
 6.00 Visuomenės priešai. JAV, kriminalinis trileris, 2009.
 8.20 Bornas. absoliutus pranašumas. JAV/Vokietija, veiksmo trileris, 2004.
10.10 Bornas. Galutinis tikslas. JAV/Vokietija, veiksmo trileris, 2007.
12.00 Pono Byno atostogos. D.Britanija/Prancūzija, komedija, 2007.
14.00 Penktas kvartete. D.Britanija, Vokietija, biografinė drama, 1994.
16.00 Karalienės sesuo. D.Britanija/JAV, romantinė drama, 2008.
18.00 Tai sudėtinga. JAV, romantinė komedija, 2009.
20.00 Solistas. D.Britanija/JAV, drama, 2009.
22.00 Baderio-Mainhof kompleksas. Vokietija/Prancūzija, kriminalinis trileris, 2008.
 0.30 Aistros karalienės. Didžioji Britanija, erotika, 2009.
 2.00 Heteroseksualai 2. meilės kvapas. D.Britanija, erotinis filmas, 2009.
 4.00 Dženiferės kūnas. JAV, siaubo komedija, 2009.

-----
Vasaris
-----
2011-02-01 - Antradienis
 6.00 Solistas. D.Britanija/JAV, drama, 2009.
 8.00 Tai sudėtinga. JAV, romantinė komedija, 2009.
10.00 Karalienės sesuo. D.Britanija/JAV, romantinė drama, 2008.
12.00 Šokis hiphopo ritmu 2. Gatvės. JAV, romantinė drama, 2008.
14.00 Kung pau. Gauk į dūdą. JAV, Honkongas. 2002. Veiksmo komedija.
15.50 Klystkeliai. Japonija/JAV, kelio drama, 2009.
17.50 Atostogos. JAV, romantinė komedija, 2006.
20.00 Pasprink. JAV, komiška drama, 2008.
22.00 Dženiferės kūnas. JAV, siaubo komedija, 2009.
 0.00 Nuostabūs kūnai. D.Britanija, erotika, 2009.
 2.00 Aistros karalienės. Didžioji Britanija, erotika, 2009.
 4.00 Gundanti klasta. JAV, kriminalinis trileris, 2008.

2011-02-02 - Trečiadienis
6.00 Pasprink. JAV, komiška drama, 2008.
8.00 Atostogos. JAV, romantinė komedija, 2006.
10.10 Klystkeliai. Japonija/JAV, kelio drama, 2009.
12.10 Futurama. žalieji toliai. JAV, animacinė komedija, 2009.
14.00 Viki Kristina Barselona. Ispanija/JAV, romantinė drama, 2008.
16.00 Diena, kai sustojo Žemė. JAV/Kanada, fantastinis trileris, 2008.
18.00 Marlis ir aš. JAV, romantinė komedija, 2008.
20.00 Sniego žmogaus pėdomis. JAV, komedija, 2008.
22.00 Gundanti klasta. JAV, kriminalinis trileris, 2008.
0.00 Tarp Marso ir Veneros. Didžioji Britanija, erotinis filmas, 2009.
2.00 Nuostabūs kūnai. D.Britanija, erotika, 2009.
4.00 Renesansas. Prancūzija/D.Britanija, fantastika/animacinis, 2006.

2011-02-03 - Ketvirtadienis
6.00 Sniego žmogaus pėdomis. JAV, komedija, 2008.
8.00 Marlis ir aš. JAV, romantinė komedija, 2008.
10.00 Diena, kai sustojo Žemė. JAV/Kanada, fantastinis trileris, 2008.
12.00 Širdys. Prancūzija/Italija, romantinė drama, 2006.
14.00 Notorious. JAV, biografinė drama, 2009.
16.00 Solistas. D.Britanija/JAV, drama, 2009.
18.00 Agentės. Prancūzija, karo drama, 2008.
20.00 Išdavikas. JAV, kriminalinė drama, 2008.
22.00 Renesansas. Prancūzija/D.Britanija, fantastika/animacinis, 2006.
0.00 Užgniaužiančios kvapą. D.Britanija, erotinis filmas, 2009.
2.00 Tarp Marso ir Veneros. Didžioji Britanija, erotinis filmas, 2009.
4.00 Kukurūzų vaikai. JAV, siaubo trileris, 2009.

2011-02-04 - Penktadienis
6.00 Išdavikas. JAV, kriminalinė drama, 2008.
