duo Star
-----
Rugpjūtis
-----
2026-08-10 - Pirmadienis
06:00  Seksas ir miestas 2 (Sex and the City 2). Melodrama, drama, komedija. JAV, 2010
09:15 Namas. Komedija, kriminalinis. JAV, 2017
10:50 Beždžionžmogis. Kriminalinis, veiksmo, trileris. JAV, 2024
13:00 Mano tobulas gangsteris. Kriminalinis, veiksmo, komedija. JAV, 2015
14:50 7 dienos Entebėje. Veiksmo, drama, istorinis. Anglija, 2018
16:55 A komanda: Mexican Slayride (S1 E1). Veiksmo, nuotykių, kriminalinis. JAV, 1982
17:55 Kolumbiana. Veiksmo, kriminalinis, drama. JAV, 2011
20:00 Matrica. Veiksmo. JAV, 1999
22:40 Spartakas. Kraujas ir smėlis: The Red Serpent (S1 E1). Veiksmo, nuotykių, drama. JAV, 2010
23:45 Boso lygis. Nuotykių, veiksmo, trileris. JAV, 2020

2026-08-11 - Antradienis
01:30 Kolumbiana. Veiksmo, kriminalinis, drama. JAV, 2011
03:25 Matrica. Veiksmo. JAV, 1999
05:40 Ką rodo "Filmzone"?
08:30 Boso lygis. Nuotykių, veiksmo, trileris. JAV, 2020
10:20 Kolumbiana. Veiksmo, kriminalinis, drama. JAV, 2011
12:15 A komanda: Mexican Slayride (S1 E1). Veiksmo, nuotykių, kriminalinis. JAV, 1982
13:00 Matrica. Veiksmo. JAV, 1999
15:55 A komanda (S1 E2). Veiksmo, nuotykių, kriminalinis. JAV, 1982
16:40 Boso lygis. Nuotykių, veiksmo, trileris. JAV, 2020
18:20 Haris Braunas. Veiksmo, trileris, kriminalinis. Anglija, 2009
20:00 Matrica: Perkrauta. Veiksmo. JAV, 2003
22:15 Spartakas. Kraujas ir smėlis: Sacramentum Gladiatorum (S1 E2). Veiksmo, nuotykių, drama. JAV, 2010
23:05 Rytojaus karas. Veiksmo, nuotykių, trileris. JAV, 2021

2026-08-12 - Trečiadienis
01:20 Haris Braunas. Veiksmo, trileris, kriminalinis. Anglija, 2009
03:00 Matrica: Perkrauta. Veiksmo. JAV, 2003
05:10 Spartakas. Kraujas ir smėlis: Sacramentum Gladiatorum (S1 E2). Veiksmo, nuotykių, drama. JAV, 2010
06:05 Duo Mix
06:10 Matrica: Perkrauta. Veiksmo. JAV, 2003
08:25 Rytojaus karas. Veiksmo, nuotykių, trileris. JAV, 2021
