yes,id,die,m,me,diena,val,min,endv,endm,what,pic,pav,prog

Filmai

n,1,Pirmadienis,02,02,11,20.,25,22.,15,Filmas,128a.gif,"Amþinoji romantika.<br> Romeo ir Dþiuljeta"," (Romeo+Juliet). JAV. 1996. Drama. Reþ. Baz Luhermann. Vaidina Leonardo DiCaprio, Edwin Moore, Claire Danes, John Leguizamo.<br>Ankstesnysis ðiemet kino pasaulá sudrebinusio miuziklo &quot;Mulenruþas&quot; reþisieriaus Bazo Luhermanno darbas &quot;Romeo ir Dþiuljeta&quot; buvo nominuotas &quot;Oskarui&quot;. Britø teatro ir kino akademija ðá filmà apdovanojo net keturiais prizais - vienas jø teko paèiam reþisieriui. Klasikinë Williamo Shakespeare'o pjesë ir romantiðkiausia visø laikø meilës istorija perkelta á mûsø dienas. Dviejø galingø ir nuolat kariaujanèiø ðeimø atþalos pamilsta vienas kità, bet jø meilë mirðta drauge su jais, nes dvi prieðiðkos grupuotës në svajoti negali apie susijungimà… Romeo vaidmuo ðiame romantiðkame ir drauge labai ðiuolaikiðkame filme teko þymiajam Leonardo DiCaprio."
n,3,Treèiadienis,02,02,13,22.,25,24.,15,Filmas,129.gif,"Kûnas - daiktinis árodymas"," (Body of Evidence). JAV. 1993. Trileris. Reþ. Ulrich Edel. Vaidina Madonna, Michael Forest, Willem Dafoe, Julianne Moore, Joe Mantegna. (N-14)<br>Garsus milijonierius rastas negyvas, prirakintas prie lovos. Jo nuþudymu apkaltinta meiluþë. Prokuroras ketina árodyti, kad ji, þinodama, kokia silpna jos draugo ðirdis, tyèia pernelyg audringai su juo mylëjosi. Moters advokatas ásitikinæs meiluþës nekaltumu, taèiau ji klastinga ir negailestinga...<br>Drauge su Madona filme vaidina &quot;Oskarui&quot; nominuotas Vilemas Defou (&quot;Anglas ligonis&quot;) ir Dþiulijana Mur (&quot;Magnolija&quot;)."
n,4,Ketvirtadienis,02,02,14,22.,00,24.,20,Filmas,130.gif,"Kai vyras myli moterá"," (When a Man Loves a Woman). JAV. 1994. Drama. Reþ. Luis Mandoki. Vaidina Meg Ryan, Andy Garcia, Ellen Burstyn, Tina Majorino. (T)<br>Ði meilës istorija prasideda keistai, mat áprasta, kad meilës romanai bûtent ðioje vietoje ir pasibaigia. Jauni sutuoktiniai turi nuostabià ðeimà, augina dvi þavias dukreles. Taèiau jø gyvenimas nëra graþus ir laimingas. Moteris slepia baisià paslaptá, kurios negali atverti net savo artimiesiems. Ji - alkoholikë."
n,5,Penktadienis,02,02,15,13.,15,13.,59,Filmas,131.gif,"Medigano milijonas"," (Madigan's Million - El millôn de Madigan). Ispanija, Italija. 1968. Komedija. Reþ. Giorgio Gentili. Vaidina Dustin Hoffman, Elsa Martinelli, Cesar Romero, Gustavo Rojo.<br>Italijoje mirðta turtais ir nusikaltimais pagarsëjæs gangsteris. Netrukus JAV valstybës iþdas susidomi, kur jis galëjo paslëpti Amerikoje pagrobtà milijonà. Atskleisti didþiosios paslapties pasiunèiamas Dþeisonas Fisteris (akt. Dustinas Hofmannas) - tikras nevykëlis, kurio negali pakæsti virðininkas…"
n,5,Penktadienis,02,02,15,20.,25,22.,15,Filmas,132.gif,"Didysis penktadienio filmas.<br> Iðprotëjæs Honkongas"," (Crazy Hong Kong - Heonggong ya fungkwong). Honkongas. 1993. Komedija. Reþ. Wellson Chin. Vaidina Michael Chow Man-Kin, Conrad Janis, N!xau.<br>Ið áþymiøjø komedijø &quot;Dievai tikriausiai pamiðæ&quot; gerai paþástamas buðmenas N!xau ðákart atsiduria Honkonge ir patiria në kiek ne maþiau juokingø europieèiams istorijø. Ir viskas vël per tà nelemtà kokakolos butelá. Buðmenas atkeliauja á tolimàjá ir visai nepaþástamà miestà ieðkoti moters, kuri á buteliukà ákiðo maþà dirbtiná paukðtelá. Afrikieèiø gentis nusprendþia, kad paukðtukas turi bûti laisvas ir tik ði paslaptinga moteris gali já iðlaisvinti…"
n,5,Penktadienis,02,02,15,22.,25,24.,15,Filmas,133.gif,"Triguba apgaulë"," (Triplecross). JAV.1995. Trileris. Reþ. Jeno Hodi. Vaidina Michael Pare, Billy Dee Williams, Ashley Laurence, Patrick Bergen. (N-14)<br>... Jie grobë brangenybes ið banko taip ámantriai, kad Federalinis tyrimø biuras buvo priverstas visiðkai pakeisti savo taktikà ir griebtis nemaþiau ámantrios apgaulës. Federaliniai agentai prikalbino vienà kaliná prisidëti prie plëðikø gaujos…."
n,5,Penktadienis,02,02,15,24.,15,01.,55,Filmas,134.gif,"Neávardijamas"," (Unnamable). JAV. 1988. Siaubo filmas. Reþ. Jean-Paul Ouellette. Vaidina Charles King, Mark Kinsey Stephenson, Alexandra Durrell. (S)<br>Pagal Hovardo Filipso Lavkrafto (H. P. Lovecraft) apsakymà &quot;Neávardijamas&quot;. <br>Uþ kapiniø stovi apleistas namas. Sklinda legendos, kad jo lango stikle ákalinta neapibûdinama bûtybë. Tie, kurie jà pamatë, ið siaubo iðprotëjo. Keli studentai nusprendþia patys iðsiaiðkinti, ar ið tiesø tai, kà pasakoja vietiniai gyventojai, yra tokia ðiurpi tiesa..."
